election,competitive_ratio,total_rankings_used,min_elimination_margin,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,total_rankings_skipped_by_tally,total_rankings_stalled_after_winner,total_rankings_stalled_after_runner_up,total_rankings_tallied,total_ballots_with_rankings_skipped_by_tally,total_ballots_with_rankings_stalled_after_winner,total_ballots_with_rankings_stalled_after_runner_up,total_ballots_with_fav_eliminated_and_second_not_tallied,total_ballots_with_elimination_and_next_not_tallied,n_candidates,rank_limit,come_from_behind,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_undervote,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Portland_06142022_Schoolboarddistrict5,-1,0,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springville_11022021_CityCouncil4yr,-1,0,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11022021_CityCouncil,-1,0,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11052019_CityCouncil_tab1,-1,0,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11052019_CityCouncil_tab2,-1,0,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodlandHills_11022021_CityCouncil,-1,0,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska_20220816_USHouse_Special,0.710019915852227,411468,5152,,,,,,,,,,3081,102651,70887,234849,2140,65739,48816,41563,50721,3,4,False,0,315.0,51868.0,64677.0,137521.0,4097.0,761.0,5605.0,10055.0,2777.0,192289.0,False,55519.0,2.119,"Peltola, Mary S.",3,315.0,11823.0,99.0,0.0,11099.0,625.0,0.0,0.0,0.0,74840.0,91263.0,39.557,51.452,1
Alaska_20221108_GovernorLieutenantGovernor,0,569762,953,,,,,,,,,,4252,137724,103531,324255,3377,81619,60363,46467,62561,4,5,False,0,307.0,87259.0,70175.0,177485.0,2416.0,811.0,4517.0,7350.0,1781.0,266693.0,True,47992.0,2.125,Dunleavy/Dahlstrom,1,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132779.0,132779.0,50.18,50.18,1
Alaska_20221108_HouseDistrict1,0,8602,329,,,,,,,,,,0,1070,812,6720,0,1048,773,772,773,2,3,False,0,3.0,4926.0,34.0,1787.0,40.0,3.0,65.0,107.0,174.0,6888.0,True,1751.0,1.271,"Ortiz, Daniel H. ""Dan""",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520.0,3520.0,52.451,52.451,1
Alaska_20221108_HouseDistrict10,0,11175,194,,,,,,,,,,1041,2161,0,7973,983,1522,0,977,983,3,4,False,0,3.0,4033.0,1419.0,2788.0,52.0,7.0,55.0,112.0,330.0,7153.0,True,1383.0,1.622,"Johnson, Craig W.",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3507.0,3507.0,51.422,51.422,1
Alaska_20221108_HouseDistrict11,0.3948069241011984,13124,113,,,,,,,,,,18,2674,1949,8483,9,2074,1178,1132,1186,3,4,True,0,4.0,3945.0,1566.0,3750.0,26.0,8.0,78.0,109.0,493.0,8190.0,True,1533.0,1.696,"Coulombe, Julie",3,4.0,444.0,0.0,0.0,438.0,6.0,0.0,0.0,0.0,2987.0,3681.0,38.828,50.779,2
Alaska_20221108_HouseDistrict12,0,8179,1166,,,,,,,,,,94,1108,0,6977,77,1071,0,77,77,2,3,False,0,1.0,4920.0,50.0,1569.0,42.0,1.0,40.0,82.0,285.0,6774.0,True,1509.0,1.249,"Schrage, Calvin R.",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.0,3827.0,58.986,58.986,1
Alaska_20221108_HouseDistrict13,0,7065,278,,,,,,,,,,2,878,639,5546,1,830,591,591,592,2,3,False,0,3.0,4156.0,64.0,1386.0,41.0,3.0,48.0,89.0,247.0,5790.0,True,1320.0,1.261,"Josephson, Andy",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2909.0,2909.0,52.509,52.509,1
Alaska_20221108_HouseDistrict14,0,7113,1925,,,,,,,,,,2,976,411,5724,1,939,382,382,383,2,3,False,0,3.0,4407.0,43.0,1304.0,29.0,4.0,55.0,83.0,441.0,6155.0,True,1251.0,1.235,"Galvin, Alyse S.",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3818.0,3818.0,66.853,66.853,1
Alaska_20221108_HouseDistrict15,0.36642027455121434,12586,7,,,,,,,,,,15,2584,1938,8049,7,2029,1115,1055,1122,3,4,True,0,6.0,3659.0,1528.0,3625.0,44.0,13.0,75.0,126.0,422.0,7709.0,True,1485.0,1.713,"McKay, Thomas W. ""Tom""",3,6.0,318.0,1.0,0.0,312.0,5.0,0.0,0.0,0.0,2825.0,3485.0,38.8,50.05,2
Alaska_20221108_HouseDistrict16,0,9506,784,,,,,,,,,,4,991,798,7713,2,950,763,764,765,2,3,False,0,0,6016.0,55.0,1690.0,35.0,1.0,43.0,76.0,362.0,8068.0,True,1597.0,1.226,"Armstrong, Jennifer ""Jennie""",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4245.0,4245.0,55.087,55.087,1
Alaska_20221108_HouseDistrict17,0,8329,621,,,,,,,,,,13,1636,1210,5470,7,1605,1195,1191,1202,2,3,False,0,6.0,2664.0,35.0,2781.0,33.0,9.0,52.0,87.0,1014.0,6465.0,True,2762.0,1.516,"Fields, William Z. ""Zack""",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3033.0,3033.0,55.702,55.702,1
Alaska_20221108_HouseDistrict18,0.5951742627345844,3932,77,,,,,,,,,,12,938,511,2471,7,669,283,262,290,3,4,True,0,2.0,971.0,576.0,1151.0,26.0,5.0,37.0,65.0,175.0,2297.0,True,560.0,1.823,"Groh, Cliff",3,2.0,107.0,0.0,0.0,103.0,4.0,0.0,0.0,0.0,743.0,1045.0,35.047,51.913,2
Alaska_20221108_HouseDistrict19,0,4697,1457,,,,,,,,,,2,1214,376,3105,1,1192,367,360,368,2,3,False,0,10.0,1512.0,34.0,1561.0,12.0,11.0,59.0,77.0,647.0,3728.0,True,1547.0,1.515,"Mina, Genevieve G.",1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264.0,2264.0,73.722,73.722,1
Alaska_20221108_HouseDistrict2,0,8909,1190,,,,,,,,,,90,1042,0,7777,61,1018,0,61,61,2,3,False,0,1.0,5502.0,32.0,1644.0,48.0,1.0,50.0,99.0,420.0,7567.0,True,1611.0,1.234,"Himschoot, Rebecca",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,4168.0,58.326,58.326,1
Alaska_20221108_HouseDistrict20,0,10250,362,,,,,,,,,,62,2662,1772,5754,54,1318,1041,907,1091,4,5,False,0,8.0,2308.0,1379.0,2721.0,40.0,27.0,135.0,190.0,437.0,5469.0,True,969.0,2.014,"Gray, Andrew T.",1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2693.0,2693.0,53.603,53.603,1
Alaska_20221108_HouseDistrict21,0,8794,138,,,,,,,,,,110,1006,0,7678,88,962,0,88,88,2,3,False,0,6.0,5393.0,47.0,1632.0,47.0,6.0,57.0,105.0,283.0,7313.0,True,1556.0,1.238,"Mears, Donna C.",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3581.0,3581.0,50.982,50.982,1
Alaska_20221108_HouseDistrict22,0,4899,55,,,,,,,,,,2,523,581,3793,1,489,549,547,550,2,3,False,0,4.0,2778.0,37.0,1006.0,38.0,5.0,33.0,75.0,179.0,3964.0,True,970.0,1.275,"Wright, Stanley A.",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,1918.0,50.727,50.727,1
Alaska_20221108_HouseDistrict23,0,10061,1679,,,,,,,,,,91,1788,0,8182,87,1745,0,87,87,2,3,False,0,3.0,4604.0,81.0,2673.0,18.0,3.0,30.0,50.0,1056.0,8336.0,True,2604.0,1.378,"Allard, Jamie",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4478.0,4478.0,61.536,61.536,1
Alaska_20221108_HouseDistrict24,0,13633,424,,,,,,,,,,57,3374,1909,8293,38,2598,1539,1298,1569,3,4,False,0,8.0,3114.0,1512.0,4420.0,51.0,11.0,101.0,160.0,460.0,7996.0,True,1450.0,1.793,"Saddler, Dan",1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976.0,3976.0,52.816,52.816,1
Alaska_20221108_HouseDistrict25,0,10189,4061,,,,,,,,,,34,2117,0,8038,26,2066,0,26,26,2,3,False,0,2.0,4568.0,48.0,2749.0,42.0,2.0,52.0,94.0,1059.0,8378.0,True,2711.0,1.382,"Johnson, DeLena M.",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.0,5689.0,77.75,77.75,1
Alaska_20221108_HouseDistrict26,0,8172,4084,,,,,,,,,,26,1066,0,7080,20,998,0,20,20,2,3,False,0,2.0,5234.0,37.0,1403.0,54.0,2.0,33.0,88.0,575.0,7213.0,True,1342.0,1.217,"Tilton, Cathy L.",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5360.0,5360.0,80.772,80.772,1
Alaska_20221108_HouseDistrict27,0,11135,131,,,,,,,,,,52,2808,1885,6390,35,1634,1213,965,1246,3,4,False,0,14.0,2534.0,2207.0,3117.0,56.0,20.0,118.0,186.0,1021.0,6678.0,True,2183.0,1.945,"Eastman, David",1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.0,2887.0,51.161,51.161,1
Alaska_20221108_HouseDistrict28,0.6167837949565936,14257,229,,,,,,,,,,387,3680,2643,7547,335,1939,1151,1194,1440,4,5,False,0,13.0,2451.0,2539.0,3567.0,74.0,31.0,129.0,226.0,1075.0,7098.0,True,1855.0,2.331,"Sumner, Jesse M.",4,13.0,955.0,3.0,0.0,929.0,23.0,0.0,0.0,0.0,2202.0,3119.0,36.639,61.701,1
Alaska_20221108_HouseDistrict29,0,9416,3615,,,,,,,,,,0,1250,658,7508,0,1188,632,628,632,2,3,False,0,2.0,5727.0,40.0,1767.0,62.0,4.0,26.0,92.0,725.0,8220.0,True,1717.0,1.241,"Rauscher, George",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5554.0,5554.0,74.123,74.123,1
Alaska_20221108_HouseDistrict3,0,6890,6169,,,,,,,,,,0,41,0,6782,0,41,0,0,0,1,2,False,0,1.0,6697.0,0,84.0,24.0,1.0,126.0,151.0,2022.0,8804.0,True,6533.0,1.012,"Story, Andrea ""Andi""",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6475.0,6475.0,95.487,95.487,1
Alaska_20221108_HouseDistrict30,0.4467333725721012,13120,781,,,,,,,,,,24,2773,2186,8137,18,2207,1647,1538,1661,3,4,False,0,12.0,3530.0,1279.0,4034.0,79.0,25.0,76.0,172.0,567.0,8135.0,True,1224.0,1.706,"McCabe, Kevin J.",3,12.0,1005.0,3.0,0.0,999.0,3.0,0.0,0.0,0.0,3395.0,3666.0,44.931,55.961,1
Alaska_20221108_HouseDistrict31,0.44095122934300685,9306,399,,,,,,,,,,23,2025,1444,5814,17,1258,1084,924,1098,3,4,False,0,9.0,2307.0,1318.0,2784.0,27.0,18.0,113.0,145.0,235.0,5330.0,True,1287.0,1.812,"Dibert, Maxine L.",3,9.0,419.0,1.0,0.0,415.0,3.0,0.0,0.0,0.0,2480.0,2592.0,48.761,55.539,1
Alaska_20221108_HouseDistrict32,0,5776,89,,,,,,,,,,18,1596,576,3586,18,1222,457,370,472,3,4,False,0,5.0,1411.0,771.0,1774.0,8.0,7.0,42.0,57.0,220.0,3406.0,True,753.0,1.805,"Stapp, Will B.",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,1635.0,51.399,51.399,1
Alaska_20221108_HouseDistrict33,0,5493,5113,,,,,,,,,,0,73,0,5385,0,73,0,0,0,1,2,False,0,0,5303.0,0,82.0,26.0,0,53.0,79.0,871.0,6256.0,True,5284.0,1.015,"Prax, Glenn M. ""Mike""",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5249.0,5249.0,97.474,97.474,1
Alaska_20221108_HouseDistrict34,0.1620575221238938,12615,565,,,,,,,,,,5,3041,1743,7826,4,2371,1033,1018,1037,3,4,False,0,7.0,3732.0,1432.0,3654.0,40.0,10.0,46.0,95.0,303.0,7693.0,True,1386.0,1.693,"Tomaszewski, Frank J.",3,7.0,169.0,1.0,0.0,168.0,0.0,0.0,0.0,0.0,3612.0,4014.0,48.923,55.642,1
Alaska_20221108_HouseDistrict35,0,14446,480,,,,,,,,,,1386,3095,850,9115,1329,1596,556,1492,1678,4,5,False,0,2.0,3684.0,1784.0,3799.0,39.0,12.0,112.0,158.0,394.0,7878.0,True,1200.0,1.915,"Carrick, Ashley E.",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3981.0,3981.0,53.208,53.208,1
Alaska_20221108_HouseDistrict36,0,9293,2292,,,,,,,,,,45,1041,0,8207,40,958,0,40,40,2,3,False,0,5.0,5867.0,65.0,1627.0,59.0,6.0,67.0,131.0,455.0,7952.0,True,1553.0,1.225,"Cronk, Mike",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4892.0,4892.0,65.296,65.296,1
Alaska_20221108_HouseDistrict37,0,3158,2904,,,,,,,,,,0,34,0,3099,0,34,0,0,0,1,2,False,0,1.0,3053.0,0,45.0,14.0,1.0,135.0,150.0,566.0,3665.0,True,3023.0,1.014,"Edgmon, Bryce",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0,3001.0,96.869,96.869,1
Alaska_20221108_HouseDistrict38,0,3645,2435,,,,,,,,,,0,43,0,3381,0,43,0,0,0,1,2,False,0,4.0,3131.0,0,248.0,13.0,4.0,222.0,239.0,382.0,3763.0,True,3125.0,1.073,"McCormick, Conrad J. ""C.J.""",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2906.0,2906.0,86.053,86.053,1
Alaska_20221108_HouseDistrict39,0,5774,77,,,,,,,,,,74,1019,0,4681,58,997,0,58,58,2,3,False,0,13.0,1689.0,49.0,1983.0,34.0,13.0,106.0,150.0,137.0,3817.0,True,1965.0,1.55,"Foster, Neal W.",1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.0,1872.0,51.05,51.05,1
Alaska_20221108_HouseDistrict4,0,8670,3992,,,,,,,,,,64,1297,0,7309,57,1253,0,57,57,2,3,False,0,5.0,5222.0,58.0,1675.0,19.0,7.0,59.0,80.0,812.0,7713.0,True,1628.0,1.251,"Hannan, Sara",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5444.0,5444.0,78.944,78.944,1
Alaska_20221108_HouseDistrict40,0,2294,2147,,,,,,,,,,0,33,0,2241,0,33,0,0,0,1,2,False,0,0,2205.0,0,36.0,17.0,0,39.0,56.0,235.0,2476.0,True,2214.0,1.016,"Patkotak, Josiah B. ""Aullaqsruaq""",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.0,2194.0,97.903,97.903,1
Alaska_20221108_HouseDistrict5,0,7259,1181,,,,,,,,,,0,1025,822,5412,0,991,797,794,797,2,3,False,0,5.0,3633.0,33.0,1764.0,35.0,7.0,53.0,89.0,587.0,5989.0,True,1737.0,1.332,"Stutes, Louise B.",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.0,3289.0,60.941,60.941,1
Alaska_20221108_HouseDistrict6,0,15092,384,,,,,,,,,,72,1972,1003,12045,53,1325,886,277,931,3,4,False,0,5.0,5683.0,1528.0,3851.0,48.0,14.0,71.0,131.0,310.0,9847.0,True,1479.0,1.569,"Vance, Sarah L.",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4958.0,4958.0,52.014,52.014,1
Alaska_20221108_HouseDistrict7,0,9585,357,,,,,,,,,,0,1343,1347,6895,0,1284,1293,1289,1293,2,3,False,0,7.0,4325.0,87.0,2545.0,44.0,9.0,43.0,94.0,569.0,7443.0,True,2482.0,1.382,"Ruffridge, Justin",1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3612.0,3612.0,52.599,52.599,1
Alaska_20221108_HouseDistrict8,0,7384,6719,,,,,,,,,,0,92,0,7209,0,92,0,0,0,1,2,False,0,0,7074.0,0,135.0,40.0,0,59.0,99.0,1584.0,8793.0,True,7045.0,1.019,"Carpenter, Ben",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6964.0,6964.0,96.601,96.601,1
Alaska_20221108_HouseDistrict9,0,11954,821,,,,,,,,,,0,986,1127,9841,0,933,1075,1075,1075,2,3,False,0,4.0,7853.0,72.0,1978.0,37.0,5.0,34.0,75.0,449.0,10284.0,True,1884.0,1.208,"Shaw, Laddie H.",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5326.0,5326.0,54.176,54.176,1
Alaska_20221108_SenateDistrictA,0,17405,4860,,,,,,,,,,6,2738,1631,13030,3,2690,1573,1570,1576,2,3,False,0,6.0,8801.0,58.0,4200.0,84.0,8.0,94.0,183.0,1449.0,14455.0,True,4156.0,1.327,"Stedman, Bert K.",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8930.0,8930.0,68.692,68.692,1
Alaska_20221108_SenateDistrictB,0,13682,12346,,,,,,,,,,0,104,0,13460,0,104,0,0,0,1,2,False,0,0,13281.0,0,179.0,43.0,0,182.0,225.0,3057.0,16517.0,True,13009.0,1.013,"Kiehl, Jesse",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12903.0,12903.0,95.862,95.862,1
Alaska_20221108_SenateDistrictC,0,24026,1759,,,,,,,,,,107,5407,2033,16479,65,3450,1433,1054,1497,3,4,False,0,8.0,7871.0,3490.0,6195.0,88.0,23.0,141.0,243.0,1767.0,15836.0,True,3434.0,1.693,"Stevens, Gary",1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7910.0,7910.0,56.255,56.255,1
Alaska_20221108_SenateDistrictD,0.252897936104043,26107,1010,,,,,,,,,,48,5331,4575,16153,33,3918,3504,3349,3536,3,4,False,0,15.0,7646.0,2814.0,7640.0,109.0,37.0,179.0,316.0,941.0,16236.0,True,2727.0,1.689,"Bjorkman, Jesse J.",3,15.0,1078.0,2.0,0.0,1068.0,8.0,0.0,0.0,0.0,7037.0,7606.0,46.054,53.556,1
Alaska_20221108_SenateDistrictE,0.9766495666018044,29536,14,,,,,,,,,,111,5985,4018,19422,72,4608,3209,2993,3274,3,4,False,0,6.0,7497.0,3243.0,9244.0,90.0,14.0,122.0,215.0,691.0,17437.0,True,3173.0,1.751,"Giessel, Cathy",3,6.0,2905.0,2.0,0.0,2881.0,22.0,0.0,0.0,0.0,5643.0,7882.0,33.71,56.971,1
Alaska_20221108_SenateDistrictF,0,17668,1297,,,,,,,,,,103,1611,0,15954,89,1513,0,89,89,2,3,False,0,3.0,11204.0,90.0,3120.0,76.0,5.0,96.0,177.0,640.0,14964.0,True,2993.0,1.224,"Kaufman, James D.",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7809.0,7809.0,54.528,54.528,1
Alaska_20221108_SenateDistrictG,0,14180,1452,,,,,,,,,,2,1791,1137,11250,1,1716,1055,1055,1056,2,3,False,0,6.0,8515.0,98.0,2716.0,71.0,7.0,100.0,176.0,709.0,11945.0,True,2598.0,1.25,"Gray-Jackson, Elvi",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6341.0,6341.0,56.465,56.465,1
Alaska_20221108_SenateDistrictH,0,19107,544,,,,,,,,,,6,2222,1637,15242,3,2125,1552,1553,1555,2,3,False,0,7.0,11606.0,125.0,3617.0,83.0,9.0,120.0,209.0,550.0,15777.0,True,3431.0,1.245,"Claman, Matt",1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7882.0,7882.0,51.787,51.787,1
Alaska_20221108_SenateDistrictI,0,9937,2463,,,,,,,,,,112,1527,0,8298,89,1473,0,89,89,2,3,False,0,7.0,5402.0,66.0,2181.0,57.0,8.0,77.0,139.0,1172.0,8762.0,True,2115.0,1.295,"Tobin, Löki G.",1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.0,5023.0,66.24,66.24,1
Alaska_20221108_SenateDistrictJ,0.01038781163434903,16103,34,,,,,,,,,,26,4803,1466,9808,16,3512,890,828,905,3,4,False,0,13.0,3614.0,2145.0,5065.0,64.0,32.0,150.0,230.0,510.0,9197.0,True,2118.0,1.835,"Dunbar, Forrest",2,13.0,30.0,2.0,0.0,26.0,2.0,0.0,0.0,0.0,4332.0,4339.0,49.942,50.197,1
Alaska_20221108_SenateDistrictK,0,13746,1724,,,,,,,,,,0,1883,1011,10852,0,1803,940,937,940,2,3,False,0,7.0,8164.0,82.0,2671.0,84.0,7.0,104.0,194.0,438.0,11277.0,True,2565.0,1.254,"Wielechowski, Bill",1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6278.0,6278.0,57.958,57.958,1
