election,competitive_ratio,total_rankings_used,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,total_rankings_skipped_by_tally,total_rankings_stalled_after_winner,total_rankings_stalled_after_runner_up,total_rankings_tallied,total_ballots_with_rankings_skipped_by_tally,total_ballots_with_rankings_stalled_after_winner,total_ballots_with_rankings_stalled_after_runner_up,total_ballots_with_fav_eliminated_and_second_not_tallied,total_ballots_with_elimination_and_next_not_tallied,min_elimination_margin,n_candidates,rank_limit,come_from_behind,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_undervote,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Oakland_11082022_Schoolboarddistrict4,-1,0,x,,,x,https://arxiv.org/abs/2303.05985,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genola_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehi_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab1,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab2,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab3,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland_06142022_SchoolboardAL,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland_06142022_Schoolboarddistrict5,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springville_11022021_CityCouncil4yr,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11052019_CityCouncil_tab1,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11052019_CityCouncil_tab2,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodlandHills_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
